1.,馬英九,1(廉政專刊),總統府/總統,01一般申報,民國99年05月28日,P2-6
2.,馬英九,1(廉政專刊),總統府/總統,04信託申報,民國99年05月28日,P7-8
3.,廖了以,1(廉政專刊),總統府/秘書長,04信託申報,民國99年05月28日,P16-16
4.,高朗,1(廉政專刊),總統府/副秘書長,01一般申報,民國99年05月28日,P17-20
5.,吳敦義,1(廉政專刊),行政院/院長,01一般申報,民國99年05月28日,P23-25
6.,朱立倫,1(廉政專刊),行政院/副院長,01一般申報,民國99年05月28日,P26-30
7.,朱立倫,1(廉政專刊),行政院/副院長,04信託申報,民國99年05月28日,P31-32
8.,尹啟銘,1(廉政專刊),行政院/政務委員,04信託申報,民國99年05月28日,P37-39
9.,楊志良,1(廉政專刊),行政院衛生署/署長,01一般申報,民國99年05月28日,P40-47
10.,張上淳,1(廉政專刊),行政院衛生署/副署長,01一般申報,民國99年05月28日,P51-61
11.,蕭美玲,1(廉政專刊),行政院衛生署/副署長,01一般申報,民國99年05月28日,P64-67
12.,蕭美玲,1(廉政專刊),行政院衛生署/副署長,04信託申報,民國99年05月28日,P68-70
13.,王建?,1(廉政專刊),監察院/院長,01一般申報,民國99年05月28日,P71-74
14.,王建?,1(廉政專刊),監察院/院長,04信託申報,民國99年05月28日,P75-76
15.,余騰芳,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P77-80
16.,余騰芳,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P81-82
17.,吳豐山,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P83-86
18.,吳豐山,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P87-88
19.,李炳南,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P89-93
20.,李復甸,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P96-99
21.,李復甸,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P100-102
22.,杜善良,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P107-107
23.,沈美真,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P108-110
24.,沈美真,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P111-112
25.,周陽山,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P113-115
26.,林鉅鋃,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P117-121
27.,洪昭男,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P124-127
28.,洪德旋,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P129-132
29.,洪德旋,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P133-134
30.,馬以工,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P135-138
1.,高鳳仙,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P143-145
2.,高鳳仙,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P146-149
3.,程仁宏,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P157-158
4.,黃煌雄,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P167-169
5.,黃煌雄,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P170-170
6.,葛永光,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P175-178
7.,葛永光,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P179-179
8.,趙榮耀,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P185-188
9.,趙榮光,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P189-189
10.,劉玉山,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P194-195
11.,劉興善,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P201-205
12.,錢林慧君,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P206-209
13.,錢林慧君,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P210-212
14.,陳豐義,1(廉政專刊),監察院/秘書長,01一般申報,民國99年05月28日,P213-215
15.,陳豐義,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P216-219
16.,陳豐義,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P216-219
17.,陳永祥,1(廉政專刊),監察院/監察委員,02更補正申報,民國99年05月28日,P224-225
18.,薛承泰,1(廉政專刊),行政院/政務委員,08信託指示通知,民國99年05月28日,P228-228
19.,張文昌,1(廉政專刊),行政院國家科學委員會/副主任委員,08信託指示通知,民國99年05月28日,P230-231
20.,池啟明,1(廉政專刊),司法院/大法官,08信託指示通知,民國99年05月28日,P232-236
21.,池啟明,1(廉政專刊),司法院/大法官,08信託指示通知,民國99年05月28日,P232-236
22.,池啟明,1(廉政專刊),司法院/大法官,08信託指示通知,民國99年05月28日,P232-236
23.,洪德旋,1(廉政專刊),監察院/監察委員,08信託指示通知,民國99年05月28日,P237-237
24.,李四川,1(廉政專刊),台北縣政府/副縣長,08信託指示通知,民國99年05月28日,P239-239
25.,黃金經,1(廉政專刊),彰化縣政府/處長,08信託指示通知,民國99年05月28日,P240-240
26.,任華雲,1(廉政專刊),臺灣電力股份有限公司新營區營業處/副處長,08信託指示通知,民國99年05月28日,P242-242
27.,傅登雄,1(廉政專刊),台灣中油股份有限公司液化天然氣工程處/處長,08信託指示通知,民國99年05月28日,P243-244
28.,蔡鐵雄,1(廉政專刊),台灣自來水股份有限公司第五區管理處/副理,08信託指示通知,民國99年05月28日,P245-245
29.,陳裳華,1(廉政專刊),中華郵政股份有限公司桃園郵局/經理,08信託指示通知,民國99年05月28日,P246-246
30.,黃桂洲,1(廉政專刊),中央造幣廠/副廠長,08信託指示通知,民國99年05月28日,P248-248
1.,張明璁,1(廉政專刊),斗六農產品市場股份有限公司/總經理,08信託指示通知,民國99年05月28日,P249-249
2.,(99)院台訴字第0993210017號,1(廉政專刊),/,10訴願決定書,民國99年05月28日,P292-294
3.,(99)院台訴字第0993210018號,1(廉政專刊),/,10訴願決定書,民國99年05月28日,P295-296
4.,(99)院台訴字第0993210019號,1(廉政專刊),/,10訴願決定書,民國99年05月28日,P297-298
5.,(99)院台訴字第0993210020號,1(廉政專刊),/,10訴願決定書,民國99年05月28日,P299-302
6.,(99)院台訴字第0993210021號,1(廉政專刊),/,10訴願決定書,民國99年05月28日,P303-304
7.,(99)院台訴字第0993210022號,1(廉政專刊),/,10訴願決定書,民國99年05月28日,P305-306
8.,(99)院台訴字第0993210023號,1(廉政專刊),/,10訴願決定書,民國99年05月28日,P307-308
9.,蕭萬長,1(廉政專刊),總統府/副總統,01一般申報,民國99年05月28日,P9-11
10.,廖了以,1(廉政專刊),總統府/秘書長,01一般申報,民國99年05月28日,P12-15
11.,高朗,1(廉政專刊),總統府/副秘書長,04信託申報,民國99年05月28日,P21-22
12.,尹啟銘,1(廉政專刊),行政院/政務委員,01一般申報,民國99年05月28日,P33-36
13.,尹啟銘,1(廉政專刊),行政院/政務委員,04信託申報,民國99年05月28日,P37-39
14.,楊志良,1(廉政專刊),行政院衛生署/署長,04信託申報,民國99年05月28日,P48-50
15.,張上淳,1(廉政專刊),行政院衛生署/副署長,04信託申報,民國99年05月28日,P62-63
16.,蕭美玲,1(廉政專刊),行政院衛生署/副署長,04信託申報,民國99年05月28日,P68-70
17.,李炳南,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P94-95
18.,李復甸,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P100-102
19.,杜善良,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P103-106
20.,周陽山,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P116-116
21.,林鉅鋃,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P122-123
22.,洪昭男,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P128-128
23.,馬秀如,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P139-142
24.,陳健民,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P150-152
25.,程仁宏,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P153-156
26.,黃武次,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P159-164
27.,黃武次,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P165-166
28.,楊美鈴,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P171-174
29.,趙昌平,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P180-182
30.,趙昌平,1(廉政專刊),監察院/監察委員,04信託申報,民國99年05月28日,P183-184
1.,劉玉山,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P190-193
2.,劉興善,1(廉政專刊),監察院/監察委員,01一般申報,民國99年05月28日,P196-200
3.,林慶隆,1(廉政專刊),審計部/審計長,01一般申報,民國99年05月28日,P220-222
4.,林慶隆,1(廉政專刊),審計部/審計長,04信託申報,民國99年05月28日,P223-223
5.,范良銹,1(廉政專刊),行政院/政務委員,08信託指示通知,民國99年05月28日,P226-227
6.,楊志良,1(廉政專刊),行政院衛生署/署長,08信託指示通知,民國99年05月28日,P229-229
7.,池啟明,1(廉政專刊),司法院/大法官,08信託指示通知,民國99年05月28日,P232-236
8.,池啟明,1(廉政專刊),司法院/大法官,08信託指示通知,民國99年05月28日,P232-236
9.,黃武次,1(廉政專刊),監察院/監察委員,08信託指示通知,民國99年05月28日,P238-238
10.,林義鎮,1(廉政專刊),臺灣糖業股份有限公司量販事業部/副執行長,08信託指示通知,民國99年05月28日,P241-241
11.,傅登雄,1(廉政專刊),台灣中油股份有限公司液化天然氣工程處/處長,08信託指示通知,民國99年05月28日,P243-244
12.,劉明珠,1(廉政專刊),中華郵政股份有限公司基隆郵局/副理,08信託指示通知,民國99年05月28日,P247-247
